Date,ID,Group,Count,Total_grams,Mass_count
8/21/24,1063,OPP,1,15,34
8/21/24,1063,APR,1,15,34
8/21/24,1063,PRE,1,15,34
8/21/24,1063,SPP,2,15,34
8/21/24,1063,OMN,4,15,34
8/21/24,1063,SFV,6,15,34
8/21/24,1063,EBA,7,15,34
8/21/24,1063,BBA,8,15,34
8/21/24,1055,OPP,1,15,271
8/21/24,1055,PRE,1,15,271
8/21/24,1055,SFV,2,15,271
8/21/24,1055,APR,2,15,271
8/21/24,1055,EBA,3,15,271
8/21/24,1055,SPP,6,15,271
8/21/24,1055,BBA,17,15,271
8/21/24,511,PRE,1,15,48
8/21/24,511,SPP,2,15,48
8/21/24,511,OMN,2,15,48
8/21/24,511,APR,3,15,48
8/21/24,511,SFV,4,15,48
8/21/24,511,EBA,8,15,48
8/21/24,511,BBA,10,15,48
8/21/24,509,OMN,2,15,13
8/21/24,509,SFV,3,15,13
8/21/24,509,BBA,3,15,13
8/21/24,509,EBA,4,15,13
8/21/24,509,SPP,18,15,13
9/22/24,1055,OMN,2,15,132
9/22/24,1055,APR,3,15,132
9/22/24,1055,SPP,5,15,132
9/22/24,1055,EBA,5,15,132
9/22/24,1055,BBA,6,15,132
9/22/24,1055,SFV,10,15,132
9/22/24,511,OMN,1,15,16
9/22/24,511,APR,1,15,16
9/22/24,511,SPP,6,15,16
9/22/24,511,BBA,6,15,16
9/22/24,511,EBA,8,15,16
9/22/24,511,SFV,5,15,16
9/22/24,509,SFV,6,15,19
9/22/24,509,SPP,8,15,19
9/22/24,509,EBA,2,15,19
9/22/24,509,BBA,1,15,19
10/13/24,1063,OMN,1,15,10
10/13/24,1063,SFV,3,15,10
10/13/24,1063,SPP,3,15,10
10/13/24,1063,OPP,3,15,10
10/13/24,1063,BBA,4,15,10
10/13/24,1063,EBA,9,15,10
10/13/24,1055,OMN,1,15,62
10/13/24,1055,EBA,2,15,62
10/13/24,1055,APR,2,15,62
10/13/24,1055,SFV,3,15,62
10/13/24,1055,OPP,4,15,62
10/13/24,1055,BBA,7,15,62
10/13/24,1055,SPP,11,15,62
10/28/24,1063,OPP,1,35,5
10/28/24,1063,SFV,2,35,5
10/28/24,1063,OMN,2,35,5
10/28/24,1063,BBA,3,35,5
10/28/24,1063,EBA,6,35,5
10/28/24,1063,APR,6,35,5
10/28/24,1063,SPP,12,35,5
10/28/24,1055,SPP,2,35,34
10/28/24,1055,OMN,2,35,34
10/28/24,1055,APR,3,35,34
10/28/24,1055,SFV,4,35,34
10/28/24,1055,EBA,4,35,34
10/28/24,1055,BBA,15,35,34
10/28/24,511,OPP,1,35,9
10/28/24,511,APR,1,35,9
10/28/24,511,EBA,4,35,9
10/28/24,511,BBA,4,35,9
10/28/24,511,SPP,6,35,9
10/28/24,511,OMN,6,35,9
10/28/24,511,SFV,8,35,9
10/28/24,509,BBA,3,35,5
10/28/24,509,SPP,4,35,5
10/28/24,509,OPP,6,35,5
10/28/24,509,EBA,7,35,5
10/28/24,509,APR,9,35,5
11/28/24,1063,SPP,1,35,48
11/28/24,1063,OPP,1,35,48
11/28/24,1063,APR,1,35,48
11/28/24,1063,SFV,4,35,48
11/28/24,1063,BBA,9,35,48
11/28/24,1063,EBA,14,35,48
11/28/24,1055,PRE,1,35,140
11/28/24,1055,APR,2,35,140
11/28/24,1055,BBA,3,35,140
11/28/24,1055,OMN,5,35,140
11/28/24,1055,EBA,5,35,140
11/28/24,1055,SFV,6,35,140
11/28/24,1055,SPP,8,35,140
11/28/24,511,SPP,1,35,17
11/28/24,511,BBA,1,35,17
11/28/24,511,APR,1,35,17
11/28/24,511,SFV,2,35,17
11/28/24,511,OMN,2,35,17
11/28/24,511,EBA,23,35,17
11/28/24,509,SPP,1,35,8
11/28/24,509,OPP,3,35,8
11/28/24,509,BBA,3,35,8
11/28/24,509,APR,3,35,8
11/28/24,509,SFV,4,35,8
11/28/24,509,OMN,4,35,8
11/28/24,509,EBA,9,35,8
