Date,Plot,Group,Proportion,Burn,Time
8/21/24,509,APR,0,Burned,Pre
8/21/24,509,BBA,0.1,Burned,Pre
8/21/24,509,EBA,0.13,Burned,Pre
8/21/24,509,OMN,0.07,Burned,Pre
8/21/24,509,OPP,0,Burned,Pre
8/21/24,509,PRE,0,Burned,Pre
8/21/24,509,SFV.SPP,0.7,Burned,Pre
8/21/24,511,APR,0.1,Burned,Pre
8/21/24,511,BBA,0.33,Burned,Pre
8/21/24,511,EBA,0.27,Burned,Pre
8/21/24,511,OMN,0.07,Burned,Pre
8/21/24,511,OPP,0,Burned,Pre
8/21/24,511,PRE,0.03,Burned,Pre
8/21/24,511,SFV.SPP,0.2,Burned,Pre
8/21/24,1055,APR,0.06,Unburned,Pre
8/21/24,1055,BBA,0.53,Unburned,Pre
8/21/24,1055,EBA,0.09,Unburned,Pre
8/21/24,1055,OMN,0,Unburned,Pre
8/21/24,1055,OPP,0.03,Unburned,Pre
8/21/24,1055,PRE,0.03,Unburned,Pre
8/21/24,1055,SFV.SPP,0.26,Unburned,Pre
8/21/24,1063,APR,0.03,Burned,Pre
8/21/24,1063,BBA,0.27,Burned,Pre
8/21/24,1063,EBA,0.23,Burned,Pre
8/21/24,1063,OMN,0.13,Burned,Pre
8/21/24,1063,OPP,0.03,Burned,Pre
8/21/24,1063,PRE,0.03,Burned,Pre
8/21/24,1063,SFV.SPP,0.28,Burned,Pre
9/22/24,511,APR,0.04,Burned,Pre
9/22/24,511,BBA,0.22,Burned,Pre
9/22/24,511,EBA,0.3,Burned,Pre
9/22/24,511,OMN,0.04,Burned,Pre
9/22/24,511,OPP,0,Burned,Pre
9/22/24,511,PRE,0,Burned,Pre
9/22/24,511,SFV.SPP,0.42,Burned,Pre
9/22/24,1055,APR,0.1,Unburned,Pre
9/22/24,1055,BBA,0.19,Unburned,Pre
9/22/24,1055,EBA,0.16,Unburned,Pre
9/22/24,1055,OMN,0.06,Unburned,Pre
9/22/24,1055,OPP,0,Unburned,Pre
9/22/24,1055,PRE,0,Unburned,Pre
9/22/24,1055,SFV.SPP,0.48,Unburned,Pre
10/13/24,1055,APR,0.07,Unburned,Pre
10/13/24,1055,BBA,0.23,Unburned,Pre
10/13/24,1055,EBA,0.07,Unburned,Pre
10/13/24,1055,OMN,0.03,Unburned,Pre
