Date,Plot #,SFV,SPP,OPP,OMN,EBA,BBA,APR,PRE
8/21/2024,1063,0.14,0.14,0.03,0.13,0.23,0.27,0.03,0.03
8/21/2024,511,0.1,0.1,0,0.07,0.27,0.33,0.1,0.03
8/21/2024,509,0.35,0.35,0,0.07,0.13,0.1,0,0
8/21/2024,1055,0.13,0.13,0.03,0,0.09,0.53,0.06,0.03
9/22/2024,1063,,,,,,,,
9/22/2024,511,0.21,0.21,0,0.04,0.3,0.22,0.04,0
9/22/2024,509,,,,,,,,
9/22/2024,1055,0.24,0.24,0,0.06,0.16,0.19,0.1,0
10/13/2024,1063,0.13,0.13,0.13,0.04,0.39,0.17,0,0
10/13/2024,511,,,,,,,,
10/13/2024,509,,,,,,,,
10/13/2024,1055,0.24,0.24,0.13,0.03,0.07,0.23,0.07,0
10/28/2024,1063,0.08,0.08,0.03,0,0.47,0.3,0.03,0
10/28/2024,511,0.05,0.05,0,0.07,0.77,0.03,0.03,0
10/28/2024,509,0.1,0.1,0.11,0.15,0.33,0.11,0.11,0
10/28/2024,1055,0.24,0.24,0,0.17,0.17,0.1,0.07,0.03
11/25/2024,1063,0.22,0.22,0.03,0.06,0.19,0.09,0.19,0
11/25/2024,511,0.23,0.23,0.03,0.2,0.13,0.13,0.03,0
11/25/2024,509,0.07,0.07,0.21,0,0.24,0.1,0.31,0
11/25/2024,1055,0.1,0.1,0,0.07,0.13,0.5,0.1,0
12/9/2024,1063,0.15,0.15,0.03,0.07,0.27,0,0.3,0.03
12/9/2024,511,0.09,0.09,0,0.37,0.3,0.1,0.07,0
12/9/2024,509,,,,,,,,
12/9/2024,1055,,,,,,,,
1/2/2025,1063,0.27,0.27,0.03,0.06,0.23,0.1,0.03,0
1/2/2025,511,0.2,0.2,0,0.03,0.07,0.33,0.17,0
1/2/2025,509,0.14,0.14,0.03,0,0.43,0.23,0.03,0
1/2/2025,1055,0.22,0.22,0.07,0.03,0.1,0.13,0.1,0.13
2/11/2025,1063,0.16,0.23,0.03,0,0.35,0.13,0.1,0
2/11/2025,511,0.19,0.19,0.03,0.16,0.19,0.03,0.1,0.1
2/11/2025,509,0.2,0.2,0.07,0.03,0.23,0.07,0.13,0.07
2/11/2025,1055,0.1,0.1,0.03,0,0.42,0.29,0.06,0
3/4/2025,1063,,,,,,,,
3/4/2025,511,0.07,0.1,0,0.03,0.33,0.07,0.37,0.03
3/4/2025,509,0,0.03,0.13,0.03,0.3,0.23,0.27,0
3/4/2025,1055,0.07,0.07,0.07,0,0.3,0.43,0.07,0
3/12/2025,1063,0.07,0.1,0.03,0,0.3,0.2,0.2,0.1
3/12/2025,511,0.03,0.03,0.23,0.07,0.3,0.03,0.3,0
3/12/2025,509,0.07,0.03,0.13,0,0.33,0.23,0.2,0
4/14/2025,1063,0.19,0.25,0.03,0,0.25,0.06,0.19,0.03
4/14/2025,511,0.25,0.22,0,0,0.28,0.19,0.06,0
4/14/2025,509,0.13,0.17,0.03,0.07,0.07,0.3,0.2,0.03
4/14/2025,1055,0.13,0.17,0,0,0.3,0.27,0.13,0
