Date,Plot #,Functional Group,Value
8/21/2024,1063,SFV,0.14
8/21/2024,1063,SPP,0.14
8/21/2024,1063,OPP,0.03
8/21/2024,1063,OMN,0.13
8/21/2024,1063,EBA,0.23
8/21/2024,1063,BBA,0.27
8/21/2024,1063,APR,0.03
8/21/2024,1063,PRE,0.03
8/21/2024,511,SFV,0.10
8/21/2024,511,SPP,0.10
8/21/2024,511,OPP,0.00
8/21/2024,511,OMN,0.07
8/21/2024,511,EBA,0.27
8/21/2024,511,BBA,0.33
8/21/2024,511,APR,0.10
8/21/2024,511,PRE,0.03
8/21/2024,509,SFV,0.35
8/21/2024,509,SPP,0.35
8/21/2024,509,OPP,0.00
8/21/2024,509,OMN,0.07
8/21/2024,509,EBA,0.13
8/21/2024,509,BBA,0.10
8/21/2024,509,APR,0.00
8/21/2024,509,PRE,0.00
8/21/2024,1055,SFV,0.13
8/21/2024,1055,SPP,0.13
8/21/2024,1055,OPP,0.03
8/21/2024,1055,OMN,0.00
8/21/2024,1055,EBA,0.09
8/21/2024,1055,BBA,0.53
8/21/2024,1055,APR,0.06
8/21/2024,1055,PRE,0.03
9/22/2024,1063,SFV,
9/22/2024,1063,SPP,
9/22/2024,1063,OPP,
9/22/2024,1063,OMN,
9/22/2024,1063,EBA,
9/22/2024,1063,BBA,
9/22/2024,1063,APR,
9/22/2024,1063,PRE,
9/22/2024,511,SFV,0.21
9/22/2024,511,SPP,0.21
9/22/2024,511,OPP,0.00
9/22/2024,511,OMN,0.04
9/22/2024,511,EBA,0.30
9/22/2024,511,BBA,0.22
9/22/2024,511,APR,0.04
9/22/2024,511,PRE,0.00
9/22/2024,509,SFV,
9/22/2024,509,SPP,
9/22/2024,509,OPP,
9/22/2024,509,OMN,
9/22/2024,509,EBA,
9/22/2024,509,BBA,
9/22/2024,509,APR,
9/22/2024,509,PRE,
9/22/2024,1055,SFV,0.24
9/22/2024,1055,SPP,0.24
9/22/2024,1055,OPP,0.00
9/22/2024,1055,OMN,0.06
9/22/2024,1055,EBA,0.16
9/22/2024,1055,BBA,0.19
9/22/2024,1055,APR,0.10
9/22/2024,1055,PRE,0.00
10/13/2024,1063,SFV,0.13
10/13/2024,1063,SPP,0.13
10/13/2024,1063,OPP,0.13
10/13/2024,1063,OMN,0.04
